uf,municipio,qtde,latitude,longitude
BA,ICHU,3,-11.7431,-39.1905
BA,IGAPORA,9,-13.774,-42.7155
BA,IGRAPIUNA,7,-13.8295,-39.1361
BA,IGUAI,19,-14.7528,-40.0894
BA,ILHEUS,289,-14.793,-39.046
BA,INHAMBUPE,15,-11.781,-38.355
BA,IPECAETA,3,-12.3028,-39.3069
BA,IPIAU,56,-14.1226,-39.7353
BA,IPIRA,22,-12.1561,-39.7359
BA,IPUPIARA,7,-11.8219,-42.6179
BA,IRAJUBA,7,-13.2563,-40.0848
BA,IRAMAIA,5,-13.2902,-40.9595
BA,IRAQUARA,6,-12.2429,-41.6155
BA,IRARA,28,-12.0504,-38.7631
BA,IRECE,68,-11.3033,-41.8535
BA,ITABELA,29,-16.5732,-39.5593
BA,ITABERABA,60,-12.5242,-40.3059
BA,ITABUNA,312,-14.7876,-39.2781
BA,ITACARE,32,-14.2784,-38.9959
BA,ITAETE,8,-12.9831,-40.9677
BA,ITAGI,27,-14.1615,-40.0131
BA,ITAGIBA,14,-14.2782,-39.8449
BA,ITAGIMIRIM,13,-16.0819,-39.6133
BA,ITAGUACU DA BAHIA,3,-11.0147,-42.3997
BA,ITAJU DO COLONIA,5,-15.1366,-39.7283
BA,ITAJUIPE,20,-14.6788,-39.3698
BA,ITAMARAJU,62,-17.0378,-39.5386
BA,ITAMARI,8,-13.7782,-39.683
BA,ITAMBE,23,-15.2429,-40.63
BA,ITANAGRA,8,-12.2614,-38.0436
BA,ITANHEM,22,-17.1642,-40.3321
BA,ITAPARICA,36,-12.8932,-38.68
BA,ITAPE,11,-14.8876,-39.4239
BA,ITAPEBI,20,-15.9551,-39.5329
BA,ITAPETINGA,136,-15.2475,-40.2482
BA,ITAPICURU,15,-11.3088,-38.2262
BA,ITAPITANGA,2,-14.4139,-39.5657
BA,ITAQUARA,4,-13.4459,-39.9378
BA,ITARANTIM,26,-15.6528,-40.065
BA,ITATIM,10,-12.7099,-39.6952
BA,ITIRUCU,13,-13.529000000000002,-40.1472
BA,ITIUBA,15,-10.6948,-39.8446
BA,ITORORO,16,-15.11,-40.0684
BA,ITUACU,9,-13.8107,-41.3003
BA,ITUBERA,22,-13.7249,-39.1481
BA,IUIU,3,-14.4054,-43.5595
BA,JABORANDI,11,-13.6071,-44.4255
BA,JACARACI,5,-14.8541,-42.4329
